Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2018-12-19,remontuojamas vandens apskaitos mazgas.,Tauragės g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,"tikrinami vandentiekio tinklai, tikslinama vandens nutekėjimo vieta.",A. Juozapavičiaus pr. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,"remontuojami šuliniai, keičiamas liukas ir  dangtis.",A. Juozapavičiaus pr. 56,Energetikų g.48,Maironio g. 14,Technikos g. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Nemuno g. 12 (Rokai),Volungių g. 6 (Domeikava),S. Daukanto g. 8,Veršvos g. 2,R. Kalantos g. 10,Bitininkų g. 31,P. Kalpoko g. 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,"Dėl vandentiekio sklendės keitimo darbų, gruodžio 18 d. nuo 13 val. iki 17 val. laikinai nutraukiamas vandens tiekimas. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Aukštaičių g. 42,Aukštaičių g. 43,Aukštaičių g. 44,Aukštaičių g. 45,Aukštaičių g. 46,Kauko al. 20,Kauko al. 22,Kauko al. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,remontuojamos vandentiekio linijos.,E. Fryko g. 8,Ukmergės g. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,keičiama vandentiekio sklendė.,Žalgirio g. 9 (Ringaudai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,tikrinamos vandentiekio sklendės.,Breslaujos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,vandentiekio linijoje atnaujinamas vandens tiekimas.,Kovo 11-osios g.,V. Krėvės pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,tinkluose ir įvaduose matuojamas vandens slėgis.,M. Daukšos g. 20,M. Daukšos g. 20A,M. Daukšos g. 20B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,valomi šuliniai.,Universiteto g. 2,Partizanų g. 48,Užnerio g. 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,remontuojamas buitinių nuotekų tinklas.,Laisvės al. 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,gavus prašymą nutraukiamas vandens tiekimas.,Vievio g. 35,Vasarvietės g.13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Kuzmos g. 6,Universiteto g. 2,Partizanų g. 48,Bitininkų g. 31,Užnerio g. 57,Vytėnų g. 23,J. Basanavičiaus al. 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,"Dėl vandentiekio linijos avarijos, gruodžio 17 d. nuo 12 val. iki 17 val.  laikinai nutraukiamas vandens tiekimas Akademijos miesteliui, sodų bendrijai. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Tako g.,Pilėnų g.,Mokyklos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,"Dėl vandentiekio rekonstrukcijos darbų, gruodžio 18 d. nuo 19 val. iki 23 val. laikinai nutraukiamas vandens tiekimas atkarpoje nuo K. Griniaus g. iki Varnių g. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",K. Griniaus g.,Varnių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,remontuojama vandentiekio linija.,Breslaujos g. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,tikrinamos vandentiekio sklendės.,Neries krantinė,Radvilėnų pl. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,valomi ir remontuojami šuliniai.,Bitininkų g. 31,Partizanų g. 48,Panerių g. 43,Veiverių g. 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,tikrinami tinklai.,Kaišiadorių g.10,Tilvikų takas Nr. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,V. Krėvės pr. 26,Maironio g. 14,Bitininkų g. 31,Partizanų g. 48,Panerių g. 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,"Dėl vandentiekio linijos rekonstrukcijos darbų, gruodžio 14 d. nuo 9 val. iki 14 val. laikinai nutraukiamas vandens tiekimas. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.",Laisvės al. 57,Laisvės al. 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,remontuojama vandentiekio linija.,Kėkštų g. 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,remontuojamas vandentiekio įvadas.,Kapsų g. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,tikrinami vandentiekio tinklai.,Palemono g.,Ateities pl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,tikrinamos vandentiekio sklendės.,Aukštaičių g.,Žemuogių g.,Kauko al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,matuojamas vandens slėgis.,Įgulos g.,Varpo g.,Stumbro g. (Šakių k.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,keičiamas liukas ir dangtis.,Kranto al. 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,remontuojamas buitinių nuotekų tinklas.,A. Juozapavičiaus pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Bitininkų g. 31,V. Krėvės pr. 26,V. Krėvės pr. 106,J. Basanavičiaus al. 51,A. Juozapavičiaus pr. 12,M. Daukšos g. 50,Josvainių g. 25,Vytėnų g. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,valomi šuliniai.,V. Krėvės pr. 102,Josvainių g. 25,Vytėnų g. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,"Dėl vandenvietėje vykdomų remonto darbų, gruodžio 13 d. nuo 9 val. iki 10 val. laikinai nutraukiamas vandens tiekimas. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Kleboniškio k.,Naujasodžio k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,"Dėl vandentiekio įvado pajungimo į vandentiekio liniją darbų, gruodžio 13 d. 23 val. iki 14 d. 5 val. laikinai nutraukiamas vandens tiekimas. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.",Raudondvario pl. 161B,Raudondvario pl. 190,Raudondvario pl. 192,Raudondvario pl. 194,Raudondvario pl. 200,Raudondvario pl. 204,Kaniūkų 1-oji g. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,"Dėl vandentiekio linijos rekonstrukcijos darbų, gruodžio 14 d. nuo 9 val. iki 14 val. laikinai bus nutrauktas vandens tiekimas. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.",Laisvės al. 57,Laisvės al. 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,remontuojama vandentiekio linija.,Juodelynės g. 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,tikslinama vandens nutekėjimo vieta.,Ringaudų k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,tikrinami vandentiekio tinklai.,Panerių g.,Verknės g,Vokiečių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,demontuojami vandens nutekėjimo davikliai.,Taikos pr. 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,valomi šuliniai.,Nemuno g. 12 (Rokai),Karklų g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,keičiami šulinių liukai ir dangčiai.,Verkių g. 11,R. Kalantos g. 127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,remontuojami šuliniai.,Spynų g. 8,P. Višinskio g. 75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Birštono g. 6,Vydūno al. 3,Šv. Gertrūdos g. 14B,Kumelių g.,Nemuno g. 12 (Rokai),Karklų g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,valomi šuliniai.,Nemuno g. 12 (Rokai),Karklų g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
